ï»¿sprite,nÂº,spawn_biome,dex_number,name,type
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,p1,forest,1.0, Bulbasaur , Grama / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,p2,nÃ£o spawna,2.0, Ivysaur , Grama / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,p3,nÃ£o spawna,3.0, Venusaur , Grama / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,p4,mesa,4.0, Charmander , Fogo
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,p5,nÃ£o spawna,5.0, Charmeleon , Fogo
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,p6,nÃ£o spawna,6.0, Charizard , Fogo / Voador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,p7,beach,7.0, Squirtle , Ãgua
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,p8,nÃ£o spawna,8.0, Wartortle , Ãgua
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,p9,nÃ£o spawna,9.0, Blastoise , Ãgua
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,p10,forest,10.0, Caterpie , Inseto
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,p11,forest,11.0, Metapod , Inseto
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,p12,nÃ£o spawna,12.0, Butterfree , Inseto / Voador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,p13,forest,13.0, Weedle , Inseto / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,p14,forest,14.0, Kakuna , Inseto / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,p15,flower_forest,15.0, Beedrill , Inseto / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,p16,em todo over word de dia ,16.0, Pidgey , Normal / Voador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,p17,em todo over word de dia ,17.0, Pidgeotto , Normal / Voador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,p18,em todo over word de dia ,18.0, Pidgeot , Normal / Voador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,p19,em todo over word de dia ,19.0, Rattata , Normal
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,p20,em todo over word de dia ,20.0, Raticate , Normal
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,p21,em todo over word de dia ,21.0, Spearow , Normal / Voador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,p22,extreme_hills,22.0, Fearow , Normal / Voador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,p23,swamp,23.0, Ekans , Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,p24,swamp,24.0, Arbok , V Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,p25,forest,25.0, Pikachu , ElÃ©trico
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,p26,nÃ£o spawna,26.0, Raichu , ElÃ©trico
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,p27,desert,27.0, Sandshrew , Terrestre
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,p28,desert,28.0, Sandslash , Terrestre
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,p29,forest,29.0, Nidoran , Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,p30,forest,30.0, Nidorina , Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,p31,nÃ£o spawna,31.0, Nidoqueen , Venenoso / Terrestre
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,p32,forest,32.0, Nidoran , Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,p33,forest,33.0, Nidorino , Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,p34,nÃ£o spawna,34.0, Nidoking , Venenoso / Terrestre
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,p35,nÃ£o spawna,35.0, Clefairy , Fada
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,p36,nÃ£o spawna,36.0, Clefable , Fada
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,p37,roofed+forest,37.0, Vulpix , Fogo
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,p38,nÃ£o spawna,38.0, Ninetales , Fogo
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,p39,monster,39.0, Jigglypuff , Normal / Fada
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,p40,nÃ£o spawna,40.0, Wigglytuff , Normal / Fada
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,p41,monster,41.0, Zubat , Venenoso / Voador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,p42,monster,42.0, Golbat , Venenoso / Voador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,p43,birch+forest,43.0, Oddish , Grama / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,p44,birch+forest,44.0, Gloom , Grama / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,p45,nÃ£o spawna,45.0, Vileplume , Grama / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,p46,mooshroom_island,46.0, Paras , Inseto / Grama
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,p47,mooshroom_island,47.0, Parasect , Inseto / Grama
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,p48,roofed+forest,48.0, Venonat , Inseto / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,p49,roofed+forest,49.0, Venomoth , Inseto / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,p50,monster,50.0, Diglett , Terrestre
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,p51,monster,51.0, Dugtrio , Terrestre
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,p52,plains,52.0, Meowth , Normal
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,p53,plains,53.0, Persian , Normal
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,p54,river,54.0, Psyduck , Ãgua
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,p55,river,55.0, Golduck , Ãgua
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,p56,savanna+mesa,56.0, Mankey , Lutador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,p57,savanna+mesa,57.0, Primeape , Lutador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,p58,plains,58.0, Growlithe , Fogo
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,p59,nÃ£o spawna,59.0, Arcanine , Fogo
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,p60,nÃ£o spawna,60.0, Poliwag , Ãgua
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,p61,nÃ£o spawna,61.0, Poliwhirl , Ãgua
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,p62,nÃ£o spawna,62.0, Poliwrath , Ãgua / Lutador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,p63,plains,63.0, Abra , PsÃ­quico
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,p64,nÃ£o spawna,64.0, Kadabra , PsÃ­quico
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,p65,nÃ£o spawna,65.0, Alakazam , PsÃ­quico
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,p66,plains,66.0, Machop , Lutador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,p67,nÃ£o spawna,67.0, Machoke , Lutador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,p68,nÃ£o spawna,68.0, Machamp , Lutador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,p69,nÃ£o spawna,69.0, Bellsprout , Grama / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,p70,roofed+forest,70.0, Weepinbell , Grama / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,p71,nÃ£o spawna,71.0, Victreebel , Grama / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,p72,ocean,72.0, Tentacool , Ãgua / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,p73,ocean,73.0, Tentacruel , Ãgua / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,p74,caves,74.0, Geodude , Pedra / Terrestre
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,p75,caves,75.0, Graveler , Pedra / Terrestre
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,p76,nÃ£o spawna,76.0, Golem , Pedra / Terrestre
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,p77,mesa,77.0, Ponyta , Fogo
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,p78,mesa,78.0, Rapidash , Fogo
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,p79,beach,79.0, Slowpoke , Ãgua / PsÃ­quico
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,p80,beach+ocean,80.0, Slowbro , Ãgua / PsÃ­quico
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,p81,vilas de aldeÃµes,81.0, Magnemite , ElÃ©trico / AÃ§o
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,p82,nÃ£o spawna,82.0, Magneton , ElÃ©trico / AÃ§o
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,p83,plains,83.0, Farfetchd , Normal / Voador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,p84,savanna+mesa,84.0, Doduo , Normal / Voador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,p85,savanna+mesa,85.0, Dodrio , Normal / Voador
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,p86,ocean,86.0, Seel , Ãgua
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,p87,ocean,87.0, Dewgong , Ãgua / Gelo
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,p88,swamp,88.0, Grimer , Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,p89,nÃ£o spawna,89.0, Muk , Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,p90,beach+ocean,90.0, Shellder , Ãgua
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,p91,nÃ£o spawna,91.0, Cloyster , Ãgua / Gelo
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,p92,em toda parte  a noite,92.0, Gastly , Fantasma / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,p93,em toda parte  a noite,93.0, Haunter , Fantasma / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,p94,nÃ£o spawna,94.0, Gengar , Fantasma / Venenoso
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,p95,Caves,95.0, Onix , Pedra / Terrestre
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,p96,roofed+forest,96.0, Drowzee , PsÃ­quico
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,p97,roofed+forest,97.0, Hypno , PsÃ­quico
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,p98,sea,98.0, Krabby , Ãgua
https://raw.gith1.pngubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,p99,sea,99.0, Kingler , Ãgua
