sprite;spawn_biome;dex_number;name;type;HP;attack;defense;special_attack;special_defense;speed;total
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png;forest;1;Bulbasaur;Grass / Poison;45;49;49;65;65;45;318
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png;Sem Spawn;2;Ivysaur;Grass / Poison;60;62;63;80;80;60;405
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png;Sem Spawn;3;Venusaur;Grass / Poison;80;82;83;100;100;80;525
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png;mesa;4;Charmander;Fire;39;52;43;60;50;65;309
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png;Sem Spawn;5;Charmeleon;Fire;58;64;58;80;65;80;405
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png;Sem Spawn;6;Charizard;Fire / Flying;78;84;78;109;85;100;534
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png;beach;7;Squirtle;Water;44;48;65;50;64;43;314
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png;Sem Spawn;8;Wartortle;Water;59;63;80;65;80;58;405
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png;Sem Spawn;9;Blastoise;Water;79;83;100;85;105;78;530
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png;forest;10;Caterpie;Bug;45;30;35;20;20;45;195
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png;forest;11;Metapod;Bug;50;20;55;25;25;30;205
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png;Sem Spawn;12;Butterfree;Bug / Flying;60;45;50;90;80;70;395
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png;forest;13;Weedle;Bug / Poison;40;35;30;20;20;50;195
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png;forest;14;Kakuna;Bug / Poison;45;25;50;25;25;35;205
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png;flower_forest;15;Beedrill;Bug / Poison;65;90;40;45;80;75;395
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png;ocean;16;Pidgey;Normal / Flying;40;45;40;35;35;56;251
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png;ocean;17;Pidgeotto;Normal / Flying;63;60;55;50;50;71;349
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png;ocean;18;Pidgeot;Normal / Flying;83;80;75;70;70;101;479
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png;ocean;19;Rattata;Normal;30;56;35;25;35;72;253
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png;ocean;20;Raticate;Normal;55;81;60;50;70;97;413
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png;oocean;21;Spearow;Normal / Flying;40;60;30;31;31;70;262
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png;extreme_hills;22;Fearow;Normal / Flying;65;90;65;61;61;100;442
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png;swamp;23;Ekans;Poison;35;60;44;40;54;55;288
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png;swamp;24;Arbok;Poison;60;95;69;65;79;80;448
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png;forest;25;Pikachu;Electric;35;55;40;50;50;90;320
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png;Sem Spawn;26;Raichu;Electric;60;90;55;90;80;110;485
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png;desert;27;Sandshrew;Terrestre;50;75;85;20;30;40;300
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png;desert;28;Sandslash;Terrestre;75;100;110;45;55;65;450
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png;forest;29;Nidoran;Poison;55;47;52;40;40;41;275
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png;forest;30;Nidorina;Poison;70;62;67;55;55;56;365
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png;Sem Spawn;31;Nidoqueen;Poison / Terrestre;90;92;87;75;85;76;505
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png;forest;32;Nidoran;Poison;46;57;40;40;40;50;273
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png;forest;33;Nidorino;Poison;61;72;57;55;55;65;365
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png;Sem Spawn;34;Nidoking;Poison / Terrestre;81;102;77;85;75;85;505
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png;extreme_hills;35;Clefairy;Fairy;70;45;48;60;65;35;323
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png;extreme_hills;36;Clefable;Fairy;95;70;73;95;90;60;483
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png;roofed;37;Vulpix;Fire;38;41;40;50;65;65;299
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png;Sem Spawn;38;Ninetales;Fire;73;76;75;81;100;100;505
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png;monster;39;Jigglypuff;Normal / Fairy;115;45;20;45;25;20;270
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png;Sem Spawn;40;Wigglytuff;Normal / Fairy;140;70;45;85;50;45;435
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png;monster;41;Zubat;Poison / Flying;40;45;35;30;40;55;245
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png;monster;42;Golbat;Poison / Flying;75;80;70;65;75;90;455
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png;birch;43;Oddish;Grass / Poison;45;50;55;75;65;30;320
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png;birch;44;Gloom;Grass / Poison;60;65;70;85;75;40;395
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png;Sem Spawn;45;Vileplume;Grass / Poison;75;80;85;110;90;50;490
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png;mooshroom_island;46;Paras;Bug / Grass;35;70;55;45;55;25;285
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png;mooshroom_island;47;Parasect;Bug / Grass;60;95;80;60;80;30;405
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png;roofed;48;Venonat;Bug / Poison;60;55;50;40;55;45;305
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png;roofed;49;Venomoth;Bug / Poison;70;65;60;90;75;90;450
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png;monster;50;Diglett;Terrestre;10;55;25;35;45;95;265
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png;monster;51;Dugtrio;Terrestre;35;100;50;50;70;120;425
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png;plains;52;Meowth;Normal;40;45;35;40;40;90;290
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png;plains;53;Persian;Normal;65;70;60;65;65;115;440
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png;river;54;Psyduck;Water;50;52;48;65;50;55;320
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png;river;55;Golduck;Water;80;82;78;95;80;85;500
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png;savanna;56;Mankey;Fighting;40;80;35;35;45;70;305
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png;savanna;57;Primeape;Fighting;65;105;60;60;70;95;455
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png;plains;58;Growlithe;Fire;55;70;45;70;50;60;350
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png;Sem Spawn;59;Arcanine;Fire;90;110;80;100;80;95;555
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png;river;60;Poliwag;Water;40;50;40;40;40;90;300
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png;river;61;Poliwhirl;Water;65;65;65;50;50;90;385
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png;Sem Spawn;62;Poliwrath;Water / Fighting;90;95;95;70;90;70;510
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png;forest;63;Abra;Psychic;25;20;15;105;55;90;310
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png;Sem Spawn;64;Kadabra;Psychic;40;35;30;120;70;105;400
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png;Sem Spawn;65;Alakazam;Psychic;55;50;45;135;95;120;500
